Latitude,Longitude,Elevation,Power
48.5785342,9.8748399,583.0,50.0
48.456817,10.029649,567.0,150.0
48.49975,10.13395,457.0,150.0
48.493378,10.108723,467.0,22.0
48.492924,9.702628,728.0,22.0
48.491969,9.697276,733.0,22.0
48.493246,9.710927,721.0,100.0
48.32916,9.89644,481.0,150.0
48.46334554,9.947873333,597.0,150.0
48.461936,9.948326,593.0,50.0
48.51626,9.759398,705.0,150.0
48.51461078,9.758304987,704.0,150.0
48.280578,9.977956,532.0,22.0
48.2995,9.99078,498.0,50.0
48.2820523,9.7123272,512.0,50.0
48.284112,9.720718,513.0,50.0
48.282088,9.710444,513.0,22.0
48.236181,9.65134,504.0,22.0
48.37562,9.73393,538.0,50.0
48.1861,9.69115,525.0,50.0
48.074218,9.822431,540.0,50.0
48.1019121,9.7913824,534.0,50.0
48.080056,9.805233,537.0,22.0
48.069766,9.953367,577.0,50.0
48.073385,9.948276,575.0,22.0
47.986925,9.771755,582.0,50.0
48.000146,9.891401,681.0,22.0
48.1247,10.112164,536.0,50.0
48.12546,10.109536,536.0,150.0
48.124692,10.112158,536.0,150.0
48.125522,10.10901657,536.0,150.0
48.0697961,10.1260109,556.0,50.0
48.22173,9.87497,514.0,33.0
48.241252,9.883304,513.0,22.0
48.154073,9.470771,531.0,50.0
48.15164,9.47771,530.0,150.0
48.6790811,9.0131391,446.0,50.0
48.67545784,9.017369104,451.0,62.0
48.691358,9.003707,431.0,150.0
48.683311,8.992297,432.0,50.0
48.68567,8.99349,432.0,20.0
48.68983466,9.005226522,434.0,150.0
48.702474,9.007019,432.0,20.0
48.689928,8.993886,426.0,150.0
48.706694,9.029095,439.0,50.0
48.702997,9.005091,436.0,150.0
48.69557,9.00674,437.0,150.0
48.7051579,9.0178537,432.0,50.0
48.741553,9.03325,516.0,50.0
48.7416682,9.0331385,510.0,150.0
48.741374,9.033108,516.0,150.0
48.58102285,8.89413935,417.0,150.0
48.5809662,8.8943564,417.0,150.0
48.627423,9.02929,505.0,22.0
48.620513,9.045081,477.0,22.0
48.620503,9.045081,477.0,22.0
48.746684,8.952215,418.0,22.0
48.507589,8.8281793,475.0,150.0
48.5076234,8.828266,475.0,150.0
48.614545,8.903146,484.0,50.0
48.616422,8.908525,483.0,50.0
48.616312,8.908312,477.0,75.0
48.785079,9.017713,371.0,150.0
48.7852,9.01744,371.0,50.0
48.7976969,9.0045049,384.0,50.0
48.79713,9.0060064,385.0,50.0
48.787618,9.016143,372.0,22.0
48.777416,8.932631,411.0,50.0
48.7629862,8.93189359,409.0,50.0
48.7773787,8.9362719,414.0,50.0
48.812009,8.922092,487.0,150.0
48.81095992,8.927311451,472.0,150.0
48.833902,8.9134819,404.0,22.0
47.797917,9.090401,400.0,50.0
47.664067,9.482701,406.0,50.0
47.6574185,9.4527901,411.0,50.0
47.652571,9.484565,402.0,150.0
47.66816,9.48808,405.0,150.0
47.65890458,9.486602543,401.0,150.0
47.659813,9.498216,401.0,22.0
47.663265,9.434239,421.0,60.0
47.664278,9.577925,418.0,75.0
47.701319,9.55902,412.0,50.0
47.59769371,9.5970279,413.0,50.0
47.607814,9.586966,414.0,150.0
47.594292,9.600967,407.0,22.0
47.60343,9.551929,404.0,150.0
47.666545,9.366595,404.0,50.0
