Latitude,Longitude,Elevation,Power
49.176492,9.231113,176.0,150.0
49.176522,9.231003,176.0,150.0
49.176568,9.230854,176.0,150.0
49.176612,9.230721,172.0,150.0
49.176656,9.230592,172.0,150.0
49.195555,9.224049,156.0,150.0
49.18808673,9.218608755,157.0,150.0
49.238619,9.341146,185.0,150.0
49.14362528,9.308847626,214.0,150.0
49.14286164,9.308965806,225.0,150.0
49.24516,9.1638,154.0,150.0
49.23826175,9.166293835,149.0,150.0
49.323989,9.412135,281.0,150.0
49.3229097,9.4158214,281.0,150.0
49.08183,9.06147,208.0,150.0
49.075351,9.062637,209.0,150.0
49.045116,9.266087,271.0,150.0
49.0443708,9.2620105,268.0,150.0
49.045334,9.266223,271.0,150.0
49.044276,9.261639,263.0,150.0
49.21194,9.077253,206.0,150.0
49.189917,9.495556,231.0,150.0
49.207152,9.480891,228.0,150.0
49.204388,9.48832,225.0,150.0
49.205248,9.640193,345.0,150.0
49.207091,9.639063,347.0,150.0
49.207007,9.639273,347.0,150.0
49.205379,9.639696,344.0,150.0
49.20528,9.68069,351.0,150.0
49.28892495,9.678214788,215.0,150.0
49.212,8.52762,111.0,150.0
49.037727,8.687321,186.0,150.0
49.1295047,8.417252,108.0,150.0
49.13776,8.56103,110.0,150.0
49.1646,8.4919,107.0,150.0
49.162909,8.570962,110.0,150.0
49.1609927,8.567019,111.0,150.0
49.162694,8.570788,109.0,150.0
49.16125,8.567226,111.0,150.0
49.171352,8.616869,104.0,150.0
49.763825,9.511557,140.0,150.0
49.6216138,9.7309266,315.0,150.0
49.6267028,9.7281813,310.0,150.0
49.48688829,9.8206163,211.0,150.0
49.51090876,9.314914942,365.0,150.0
49.535927,9.34012,411.0,150.0
49.301874,9.140594,152.0,150.0
49.4694378,8.565854,97.0,150.0
49.3918,8.56459,102.0,150.0
49.3802133,8.5753633,105.0,150.0
49.396731,8.578203,102.0,150.0
49.3208261,8.5679409,109.0,150.0
49.317097,8.57589,104.0,150.0
49.41089641,8.543704748,102.0,150.0
49.3449076,8.6789161,106.0,150.0
49.3449047,8.6788524,106.0,150.0
49.2971672,8.6302369,104.0,150.0
49.2973219,8.6301201,104.0,150.0
49.3508,8.632241,106.0,150.0
49.34897,8.6542,104.0,150.0
49.3934,8.63442,107.0,150.0
49.446334,8.677897,117.0,150.0
49.32011,8.687501,125.0,150.0
49.27256,8.695698,134.0,150.0
49.273211,8.696102,132.0,150.0
49.27429067,8.695693733,130.0,150.0
49.47302,8.98683,130.0,150.0
49.50674264,8.637678623,98.0,150.0
49.507796,8.638089,98.0,150.0
49.2409206,8.8795631,169.0,150.0
49.2444306,8.8789347,171.0,150.0
49.24097239,8.87991141,169.0,150.0
49.24811,8.86153,170.0,150.0
49.236624,8.766834,165.0,150.0
49.10197,9.6943,377.0,150.0
49.18149,10.0695,432.0,150.0
49.18146,10.06949,432.0,150.0
49.18143,10.06947,432.0,150.0
49.39800347,8.68211832,112.0,150.0
49.426194,8.639611,107.0,150.0
49.378139,8.664111,111.0,150.0
49.37713,8.68793,117.0,150.0
49.3596293,8.688152432,111.0,150.0
49.13355,9.226808,180.0,150.0
49.131225,9.2183296,177.0,150.0
49.166131,9.216777,155.0,150.0
49.150278,9.216667,158.0,150.0
49.15256,9.21568,156.0,150.0
49.1499303,9.21327424,158.0,150.0
49.0200875,8.4398208,116.0,150.0
49.020119,8.439883,116.0,150.0
49.01697723,8.470952683,117.0,150.0
49.489556,8.462356,103.0,150.0
49.47371907,8.5394454,96.0,150.0
49.47371558,8.539322019,96.0,150.0
49.4738341,8.539300561,96.0,150.0
49.47379924,8.539407849,96.0,150.0
49.47379575,8.539509773,96.0,150.0
49.469222,8.470972,94.0,150.0
49.50708,8.51633,102.0,150.0
49.479204,8.47479,99.0,150.0
49.4774464,8.49589429,104.0,150.0
49.558188,8.463022,95.0,150.0
49.498821,8.4631995,102.0,150.0
49.458118,8.503022,97.0,150.0
49.461178,8.491232,95.0,150.0
