Latitude,Longitude,Elevation,Power
49.021186,8.7499341,218.0,44.0
50.289815,8.976629,121.0,50.0
49.035897,9.314304,247.0,22.0
49.191958,9.222715,164.0,50.0
49.176492,9.231113,176.0,150.0
49.176522,9.231003,176.0,150.0
49.176568,9.230854,176.0,150.0
49.176612,9.230721,172.0,150.0
49.176656,9.230592,172.0,150.0
49.195555,9.224049,156.0,150.0
49.18808673,9.218608755,157.0,150.0
49.2304013,9.2113397,156.0,50.0
49.135954,9.376713,198.0,22.0
49.1500664,9.2985005,205.0,50.0
49.1375715,9.065202,196.0,50.0
49.238619,9.341146,185.0,150.0
49.318967,9.36494,178.0,22.0
49.14362528,9.308847626,214.0,150.0
49.14286164,9.308965806,225.0,150.0
49.24516,9.1638,154.0,150.0
49.239,9.168,151.0,50.0
49.23826175,9.166293835,149.0,150.0
49.209946,9.203903,163.0,44.0
49.323082,9.415751,281.0,50.0
49.324102,9.412272,281.0,50.0
49.323989,9.412135,281.0,150.0
49.3229097,9.4158214,281.0,150.0
49.0825623,9.0671554,199.0,50.0
49.08183,9.06147,208.0,150.0
49.075351,9.062637,209.0,150.0
49.091975,9.081404,210.0,22.0
49.072311,9.180047,237.0,22.0
49.043998,9.261927,268.0,50.0
49.04406,9.261997,268.0,50.0
49.045633,9.265882,271.0,50.0
49.045691,9.265929,271.0,50.0
49.045116,9.266087,271.0,150.0
49.0443708,9.2620105,268.0,150.0
49.055188,9.241813,232.0,75.0
49.054957,9.242678,228.0,75.0
49.05489,9.242668,228.0,75.0
49.045334,9.266223,271.0,150.0
49.044276,9.261639,263.0,150.0
49.057927,9.261101,233.0,50.0
49.059373,8.926889,222.0,22.0
49.21194,9.077253,206.0,150.0
49.2358916,9.0965157,237.0,50.0
49.136819,8.915302,190.0,50.0
49.136556,8.928,209.0,22.0
49.342207,9.524573,218.0,22.0
49.189917,9.495556,231.0,150.0
49.20331,9.4913361,227.0,50.0
49.207152,9.480891,228.0,150.0
49.204388,9.48832,225.0,150.0
49.204584,9.50157,237.0,50.0
49.20189,9.50021,232.0,50.0
49.200257,9.47635,252.0,22.0
49.185104,9.411068,234.0,22.0
49.184932,9.411107,236.0,22.0
49.205286,9.640005,345.0,50.0
49.207091,9.639063,347.0,50.0
49.205248,9.640193,345.0,150.0
49.207091,9.639063,347.0,150.0
49.213192,9.585974,304.0,50.0
49.207007,9.639273,347.0,150.0
49.205379,9.639696,344.0,150.0
49.1959728,9.6912482,354.0,50.0
49.20528,9.68069,351.0,150.0
49.225223,9.683681,360.0,22.0
49.22507,9.6834699,360.0,22.0
49.28853805,9.678902,213.0,50.0
49.28892495,9.678214788,215.0,150.0
49.284727,9.68474,229.0,22.0
49.345845,9.794749,261.0,22.0
49.212,8.52762,111.0,150.0
49.26589,8.477972,96.0,124.0
49.038656,8.69636,172.0,50.0
49.037727,8.687321,186.0,150.0
49.039874,8.690271,190.0,50.0
49.137069,8.426375,109.0,50.0
49.1295047,8.417252,108.0,150.0
49.0461112,8.5263167,116.0,50.0
49.045014,8.526036,117.0,50.0
49.110596,8.568308,112.0,22.0
49.13776,8.56103,110.0,150.0
49.1205609,8.58196,114.0,50.0
49.136956,8.594611,112.0,22.0
49.096169,8.642018,145.0,50.0
49.225024,8.654368,113.0,50.0
49.1646,8.4919,107.0,150.0
49.215172,8.697531,145.0,50.0
49.160998,8.567015,111.0,50.0
49.162905,8.570877,110.0,50.0
49.162909,8.570962,110.0,150.0
49.1609927,8.567019,111.0,150.0
49.162694,8.570788,109.0,150.0
49.16125,8.567226,111.0,150.0
49.171352,8.616869,104.0,150.0
49.03936,9.14418,180.0,75.0
49.7724862,9.5794393,172.0,50.0
49.763825,9.511557,140.0,150.0
49.77111047,9.58758831,163.0,75.0
49.630403,9.666185,176.0,100.0
49.626722,9.728162,310.0,50.0
49.621761,9.730665,312.0,50.0
49.6216138,9.7309266,315.0,150.0
49.6267028,9.7281813,310.0,150.0
49.49308,9.769919,209.0,50.0
49.486551,9.790409,211.0,100.0
49.483,9.897,226.0,43.0
49.48688829,9.8206163,211.0,150.0
49.403861,9.390352,228.0,50.0
49.520981,9.328713,333.0,50.0
49.51090876,9.314914942,365.0,150.0
49.535927,9.34012,411.0,150.0
49.3504861,9.14211944,158.0,50.0
49.3568722,9.1487888,162.0,50.0
49.341478,9.126114,163.0,50.0
49.45513,9.247109,361.0,50.0
49.3517925,9.0965867,142.0,50.0
49.301874,9.140594,152.0,150.0
49.452962,8.58837,103.0,50.0
49.4694378,8.565854,97.0,150.0
49.3898499,8.5783696,105.0,50.0
49.3918,8.56459,102.0,150.0
49.3802133,8.5753633,105.0,150.0
49.413184,8.545299,102.0,50.0
49.396731,8.578203,102.0,150.0
49.3852715,8.5775826,104.0,50.0
49.316991,8.575853,104.0,50.0
49.320815,8.567804,109.0,50.0
49.3208261,8.5679409,109.0,150.0
49.317097,8.57589,104.0,150.0
49.407402,8.537158,102.0,50.0
49.41089641,8.543704748,102.0,150.0
49.392395,8.78007,122.0,50.0
49.381363,8.800953,154.0,22.0
49.289614,8.678578,115.0,22.0
49.3449076,8.6789161,106.0,150.0
49.3449047,8.6788524,106.0,150.0
49.2971672,8.6302369,104.0,150.0
49.2973219,8.6301201,104.0,150.0
49.304996,8.629313,105.0,20.0
49.350934,8.632238,105.0,50.0
49.3508,8.632241,106.0,150.0
49.34897,8.6542,104.0,150.0
49.3934,8.63442,107.0,150.0
49.446334,8.677897,117.0,150.0
49.326159,8.6838607,109.0,50.0
49.32011,8.687501,125.0,150.0
49.27256,8.695698,134.0,150.0
49.273211,8.696102,132.0,150.0
49.27429067,8.695693733,130.0,150.0
49.343215,8.796468,135.0,22.0
49.47302,8.98683,130.0,150.0
49.527776,8.656796,108.0,50.0
49.50674264,8.637678623,98.0,150.0
49.507796,8.638089,98.0,150.0
49.594,8.647,98.0,50.0
49.240926,8.879562,169.0,50.0
49.2409206,8.8795631,169.0,150.0
49.2444306,8.8789347,171.0,150.0
49.24097239,8.87991141,169.0,150.0
49.247248,8.878005,166.0,50.0
49.24811,8.86153,170.0,150.0
49.31702,8.813564,144.0,50.0
49.302642,8.910918,166.0,50.0
49.2331212,8.7706523,171.0,50.0
49.236624,8.766834,165.0,150.0
49.111188,9.795035,399.0,50.0
49.1211097,9.7351139,274.0,50.0
49.10457,9.70297,382.0,50.0
49.118865,9.733827,275.0,22.0
49.10197,9.6943,377.0,150.0
49.135856,10.075394,414.0,50.0
49.14077931,10.06238632,411.0,22.0
49.140786,10.062409,411.0,22.0
