Latitude,Longitude,Elevation,Power
48.442398,9.659075,767.0,22.0
48.449353,9.672201,776.0,22.0
48.5105,9.609,806.0,22.0
48.5785342,9.8748399,583.0,50.0
48.179959,10.076977,523.0,22.0
48.5010993,10.1221682,468.0,11.0
48.505686,10.138781,459.0,11.0
48.500374,10.117366,472.0,22.0
48.456817,10.029649,567.0,150.0
48.5000571,10.123939,466.0,22.0
48.49975,10.13395,457.0,150.0
48.49896572,10.12097776,462.0,11.0
48.538896,10.129616,506.0,22.0
48.50509,10.128139,471.0,22.0
48.500211,10.121083,466.0,22.0
48.493191,10.113215,464.0,22.0
48.497369,10.121542,461.0,22.0
48.48473,10.061164,493.0,22.0
48.474798,10.085579,481.0,22.0
48.48524,10.028291,512.0,22.0
48.493378,10.108723,467.0,22.0
48.416998,9.918955,493.0,22.0
48.409847,9.940684,511.0,11.0
48.4036614,9.7746765,519.0,11.0
48.432935,9.772928,687.0,11.0
48.4080307,9.790154,513.0,22.0
48.418242,9.748788,700.0,22.0
48.398975,9.805573,502.0,22.0
48.369369,9.808528,652.0,22.0
48.437012,9.820351,671.0,22.0
48.412767,9.78178,526.0,22.0
48.413496,9.8623,538.0,11.0
48.43932825,9.817808069,668.0,22.0
48.4392714,9.817808069,668.0,11.0
48.4392714,9.818274919,668.0,11.0
48.43975,9.818356,670.0,11.0
48.48938,9.68649,757.0,22.0
48.49152886,9.750237465,715.0,22.0
48.49143287,9.749749303,716.0,22.0
48.492924,9.702628,728.0,22.0
48.491969,9.697276,733.0,22.0
48.493246,9.710927,721.0,100.0
48.327562,9.895613,479.0,22.0
48.328599,9.881436,485.0,22.0
48.32916,9.89644,481.0,150.0
48.325227,9.893881,480.0,22.0
48.292535,9.854574,483.0,22.0
48.330122,9.853781,502.0,22.0
48.343776,9.813653,558.0,22.0
48.31389,9.86102,485.0,22.0
48.303502,9.903994,490.0,22.0
48.32867,9.888041,484.0,22.0
48.45494,9.911473,604.0,22.0
48.464622,9.941352,586.0,22.0
48.513406,9.850734,705.0,22.0
48.49015,9.861754,642.0,22.0
48.482237,9.911473,623.0,22.0
48.46334554,9.947873333,597.0,150.0
48.461936,9.948326,593.0,50.0
48.468163,9.94098,587.0,11.0
48.482306,9.911353,623.0,20.0
48.513378,9.8507422,705.0,20.0
48.464632,9.9415914,586.0,22.0
48.490108,9.8618227,642.0,22.0
48.455093,9.9113609,605.0,22.0
48.211121,10.06954,514.0,22.0
48.239592,10.060476,538.0,22.0
48.211078,10.069746,514.0,22.0
48.518901,9.903521,626.0,22.0
48.534719,9.9245,555.0,22.0
48.528983,10.193397,502.0,22.0
