Latitude,Longitude,Altitude
49.8782222,8.6579722,150.0
49.5562364,8.5333187,106.0
49.5838792,8.6340609,98.0
49.6817024,8.7248111,548.0
49.5715686,8.6787346,283.0
49.7201154,8.7496894,409.0
49.5523007,8.6702083,123.0
49.5504194,8.6705737,133.0
49.5489396,8.6710638,138.0
49.5481627,8.6711576,138.0
49.7552566,9.959882,290.0
49.4901331,8.4899871,94.0
49.6122612,11.1297499,316.0
49.6520728,8.5366786,98.0
49.6710701,8.5477064,97.0
50.1591689,8.6879544,133.0
50.1592861,8.6887209,132.0
50.5850514,8.6680598,160.0
49.1641143,12.9894716,849.0
49.6903495,8.6042212,94.0
49.7329509,8.5923818,97.0
50.1480142,8.624195,102.0
49.9351707,10.8626064,260.0
50.1400483,8.670959,126.0
50.584793,8.6131848,172.0
50.5903491,8.6139227,201.0
50.798346,13.0323518,360.0
49.3640771,11.0379008,317.0
49.0374038,8.7063354,181.0
49.4667715,8.643555,105.0
50.1202202,8.7731124,104.0
50.0487949,8.6467861,125.0
49.1976416,10.748772,449.0
50.2009525,8.5806007,203.0
49.295308,8.6976957,131.0
49.9470742,8.6092534,112.0
49.7121711,10.8438119,295.0
50.1127699,8.6765888,111.0
49.7467709,10.0022011,268.0
49.9547216,8.6050804,119.0
49.3701696,11.3262114,409.0
50.1825371,8.7423725,109.0
52.1052558,10.1513028,124.0
49.4585375,12.4193972,502.0
52.2988016,13.2679074,42.0
50.0269229,8.519457,99.0
50.2266058,8.6307997,158.0
52.2204119,11.0536184,186.0
52.3012214,13.2592461,46.0
50.0791175,8.6713162,126.0
52.3549702,9.8557541,75.0
52.2799675,9.4917923,162.0
49.9735384,9.1507001,133.0
49.8652154,8.7255392,216.0
49.1404441,11.6858779,596.0
49.3539278,11.4358737,416.0
50.1334347,11.4635763,506.0
49.0689069,12.0897391,343.0
50.1514259,8.6764111,128.0
49.7921359,9.9272303,171.0
49.8749921,8.658809,152.0
51.4838782,11.9675953,87.0
49.8480062,8.8047699,197.0
49.9940398,8.4133773,90.0
52.2371216,9.5219644,323.0
52.4221153,10.788648,63.0
50.1211065,11.394251,408.0
49.3298334,11.0196149,334.0
49.3307667,11.0220723,328.0
49.3320631,11.0219065,337.0
49.9738529,9.126525,116.0
52.2358529,8.9062189,50.0
49.6234158,9.6621761,184.0
52.4622268,10.5244199,59.0
52.4617529,10.5245334,59.0
50.4510753,11.4096601,690.0
49.2928904,8.6999773,126.0
49.2950191,8.7020943,134.0
49.3291682,12.1037063,359.0
49.3265303,12.1054456,359.0
49.2817717,11.459823,422.0
49.279551,8.9095933,218.0
49.2755399,8.9065502,241.0
49.8425244,8.7978891,182.0
49.8426932,8.7959934,184.0
50.1237446,8.7819695,100.0
50.8126127,12.6860761,400.0
52.4824741,10.5159611,53.0
52.4816945,10.5137235,52.0
50.6779453,10.9598075,458.0
50.1189773,8.4858347,146.0
50.0767829,8.9524927,110.0
52.3723034,10.628728,90.0
51.7170547,8.747937,122.0
51.8420082,10.7970232,231.0
52.2669797,8.7774976,192.0
49.9437609,10.9050234,252.0
49.7960608,9.930251,182.0
51.192436,8.7056494,417.0
49.9437557,10.9042947,253.0
50.5582298,8.5023179,155.0
50.1307961,11.1928944,339.0
50.8126959,8.69452,229.0
51.4626765,11.9770833,117.0
49.7832705,9.1825875,134.0
49.0329791,9.4372582,489.0
49.7461123,8.590774,101.0
49.0226947,12.0028325,339.0
50.1142968,9.9374173,210.0
51.7585994,10.3165924,401.0
49.2440628,8.5449639,107.0
49.9611037,9.1609091,178.0
50.211101,8.5527999,299.0
